2025-02-25 22:18:22,524 - INFO - Experiment Configuration:
2025-02-25 22:18:22,525 - INFO - model_selected: TimeLLM
2025-02-25 22:18:22,525 - INFO - conf_path: ./conf/TimeLLM.json
2025-02-25 22:18:22,525 - INFO - data_path: ../Data/SEAnet/data_250M_seed1184_len256_znorm.bin
2025-02-25 22:18:22,525 - INFO - llm_path: ../Model/
2025-02-25 22:18:22,525 - INFO - train_path: ./example/TimeLLM/sample/train.bin
2025-02-25 22:18:22,525 - INFO - val_path: ./example/TimeLLM/sample/val.bin
2025-02-25 22:18:22,525 - INFO - test_path: ./example/TimeLLM/sample/test.bin
2025-02-25 22:18:22,525 - INFO - train_indices_path: ./example/TimeLLM/sample/train_indices.bin
2025-02-25 22:18:22,525 - INFO - val_indices_path: ./example/TimeLLM/sample/val_indices.bin
2025-02-25 22:18:22,525 - INFO - test_indices_path: ./example/TimeLLM/sample/test_indices.bin
2025-02-25 22:18:22,525 - INFO - log_path: ./example/TimeLLM/log/example.log
2025-02-25 22:18:22,525 - INFO - model_path: ./example/TimeLLM/model/
2025-02-25 22:18:22,525 - INFO - device: cuda:3
2025-02-25 22:18:22,525 - INFO - GPUs: [3]
2025-02-25 22:18:22,525 - INFO - llm_type: gpt2
2025-02-25 22:18:22,525 - INFO - llm_layers: 6
2025-02-25 22:18:22,525 - INFO - epoch_max: 100
2025-02-25 22:18:22,525 - INFO - len_series: 256
2025-02-25 22:18:22,525 - INFO - len_reduce: 16
2025-02-25 22:18:22,525 - INFO - batch_size: 256
2025-02-25 22:18:22,525 - INFO - data_size: 1000000
2025-02-25 22:18:22,525 - INFO - train_size: 200000
2025-02-25 22:18:22,525 - INFO - val_size: 10000
2025-02-25 22:18:22,525 - INFO - test_size: 10000
2025-02-25 22:18:22,525 - INFO - patch_len: 16
2025-02-25 22:18:22,525 - INFO - stride: 8
2025-02-25 22:18:22,525 - INFO - head_num: 8
2025-02-25 22:18:22,525 - INFO - dim_model: 128
2025-02-25 22:18:22,525 - INFO - dim_llm: 768
2025-02-25 22:18:22,525 - INFO - dim_ff: 128
2025-02-25 22:18:22,525 - INFO - reduced_vocab_size: 1000
2025-02-28 14:23:35,733 - INFO - epoch: 74, start training
2025-02-28 15:07:30,015 - INFO - epoch: 74, validate trans_err: 0.09410503
2025-02-28 15:07:30,072 - INFO - epoch: 75, start training
2025-02-28 15:50:26,337 - INFO - epoch: 75, validate trans_err: 0.09366152
2025-02-28 15:50:26,382 - INFO - epoch: 76, start training
2025-02-28 16:34:13,953 - INFO - epoch: 76, validate trans_err: 0.09434027
2025-02-28 16:34:14,010 - INFO - epoch: 77, start training
2025-02-28 17:17:50,609 - INFO - epoch: 77, validate trans_err: 0.09204309
2025-02-28 17:17:50,658 - INFO - epoch: 78, start training
2025-02-28 17:59:24,085 - INFO - epoch: 78, validate trans_err: 0.09328283
2025-02-28 17:59:24,143 - INFO - epoch: 79, start training
2025-02-28 18:42:28,799 - INFO - epoch: 79, validate trans_err: 0.09206273
2025-02-28 18:42:28,840 - INFO - epoch: 80, start training
2025-02-28 19:25:43,600 - INFO - epoch: 80, validate trans_err: 0.09262938
2025-02-28 19:25:44,855 - INFO - Model in epoch: 80 saved successfully.
2025-02-28 19:25:44,911 - INFO - epoch: 81, start training
2025-02-28 20:08:00,575 - INFO - epoch: 81, validate trans_err: 0.09368885
2025-02-28 20:08:00,618 - INFO - epoch: 82, start training
2025-02-28 20:50:08,097 - INFO - epoch: 82, validate trans_err: 0.09181494
2025-02-28 20:50:08,148 - INFO - epoch: 83, start training
2025-02-28 21:34:31,974 - INFO - epoch: 83, validate trans_err: 0.09224024
2025-02-28 21:34:32,033 - INFO - epoch: 84, start training
2025-02-28 22:17:47,461 - INFO - epoch: 84, validate trans_err: 0.09030621
2025-02-28 22:17:47,505 - INFO - epoch: 85, start training
2025-02-28 22:59:54,980 - INFO - epoch: 85, validate trans_err: 0.09349031
2025-02-28 22:59:55,021 - INFO - epoch: 86, start training
2025-02-28 23:41:05,541 - INFO - epoch: 86, validate trans_err: 0.09156048
2025-02-28 23:41:05,583 - INFO - epoch: 87, start training
2025-03-01 00:23:14,125 - INFO - epoch: 87, validate trans_err: 0.09223075
2025-03-01 00:23:14,166 - INFO - epoch: 88, start training
2025-03-01 01:05:23,824 - INFO - epoch: 88, validate trans_err: 0.09339125
2025-03-01 01:05:23,881 - INFO - epoch: 89, start training
2025-03-01 01:46:44,695 - INFO - epoch: 89, validate trans_err: 0.09269617
2025-03-01 01:46:44,736 - INFO - epoch: 90, start training
2025-03-01 02:27:15,638 - INFO - epoch: 90, validate trans_err: 0.09265722
2025-03-01 02:27:16,956 - INFO - Model in epoch: 90 saved successfully.
2025-03-01 02:27:16,997 - INFO - epoch: 91, start training
2025-03-01 03:06:45,849 - INFO - epoch: 91, validate trans_err: 0.09153464
2025-03-01 03:06:45,893 - INFO - epoch: 92, start training
2025-03-01 03:46:06,528 - INFO - epoch: 92, validate trans_err: 0.09191436
2025-03-01 03:46:06,568 - INFO - epoch: 93, start training
2025-03-01 04:25:33,947 - INFO - epoch: 93, validate trans_err: 0.09371091
2025-03-01 04:25:33,988 - INFO - epoch: 94, start training
2025-03-01 05:05:04,237 - INFO - epoch: 94, validate trans_err: 0.09185688
2025-03-01 05:05:04,278 - INFO - epoch: 95, start training
2025-03-01 05:44:27,644 - INFO - epoch: 95, validate trans_err: 0.09092633
2025-03-01 05:44:27,685 - INFO - epoch: 96, start training
2025-03-01 06:23:41,457 - INFO - epoch: 96, validate trans_err: 0.09150399
2025-03-01 06:23:41,498 - INFO - epoch: 97, start training
2025-03-01 07:03:06,283 - INFO - epoch: 97, validate trans_err: 0.09158752
2025-03-01 07:03:06,377 - INFO - epoch: 98, start training
2025-03-01 07:42:34,410 - INFO - epoch: 98, validate trans_err: 0.09258202
2025-03-01 07:42:34,452 - INFO - epoch: 99, start training
2025-03-01 08:21:39,848 - INFO - epoch: 99, validate trans_err: 0.08985554
2025-03-01 08:21:39,890 - INFO - epoch: 100, start training
2025-03-01 09:00:41,900 - INFO - epoch: 100, validate trans_err: 0.09115960
2025-03-01 09:00:43,110 - INFO - Model in epoch: 100 saved successfully.
2025-03-01 09:02:32,547 - INFO - test trans_err: 0.09236056
