2025-02-27 16:55:48,379 - INFO - Experiment Configuration:
2025-02-27 16:55:48,380 - INFO - model_selected: AutoTimes
2025-02-27 16:55:48,380 - INFO - conf_path: ./conf/AutoTimes.json
2025-02-27 16:55:48,380 - INFO - data_path: ../Data/SEAnet/data_250M_seed1184_len256_znorm.bin
2025-02-27 16:55:48,380 - INFO - llm_path: ../Model/
2025-02-27 16:55:48,380 - INFO - train_path: ./example/AutoTimes/sample/train.bin
2025-02-27 16:55:48,381 - INFO - val_path: ./example/AutoTimes/sample/val.bin
2025-02-27 16:55:48,381 - INFO - test_path: ./example/AutoTimes/sample/test.bin
2025-02-27 16:55:48,381 - INFO - train_indices_path: ./example/AutoTimes/sample/train_indices.bin
2025-02-27 16:55:48,381 - INFO - val_indices_path: ./example/AutoTimes/sample/val_indices.bin
2025-02-27 16:55:48,381 - INFO - test_indices_path: ./example/AutoTimes/sample/test_indices.bin
2025-02-27 16:55:48,381 - INFO - log_path: ./example/AutoTimes/log/example.log
2025-02-27 16:55:48,381 - INFO - model_path: ./example/AutoTimes/model/
2025-02-27 16:55:48,381 - INFO - device: cuda:7
2025-02-27 16:55:48,381 - INFO - GPUs: [7]
2025-02-27 16:55:48,381 - INFO - llm_type: gpt2
2025-02-27 16:55:48,381 - INFO - llm_layers: 6
2025-02-27 16:55:48,381 - INFO - head_num: 8
2025-02-27 16:55:48,382 - INFO - dim_llm: 768
2025-02-27 16:55:48,382 - INFO - epoch_max: 100
2025-02-27 16:55:48,382 - INFO - len_series: 256
2025-02-27 16:55:48,382 - INFO - len_reduce: 16
2025-02-27 16:55:48,382 - INFO - batch_size: 512
2025-02-27 16:55:48,382 - INFO - data_size: 1000000
2025-02-27 16:55:48,382 - INFO - train_size: 200000
2025-02-27 16:55:48,382 - INFO - val_size: 10000
2025-02-27 16:55:48,382 - INFO - test_size: 10000
2025-02-27 16:55:48,382 - INFO - win_size: 16
2025-02-27 16:55:48,382 - INFO - stride: 16
2025-02-27 16:55:48,382 - INFO - mlp_layers: 2
2025-02-27 16:55:48,383 - INFO - mlp_dim: 512
2025-02-27 16:55:48,383 - INFO - in_channels: 1
2025-02-27 16:55:48,383 - INFO - out_channels: 4
2025-02-27 16:55:48,383 - INFO - activation: tanh
2025-02-27 16:55:48,383 - INFO - dropout: 0.1
2025-02-27 16:55:48,383 - INFO - Model loading...
2025-02-27 16:55:48,885 - INFO - Using 1 GPUs
2025-02-27 21:46:14,380 - INFO - epoch: 71, validate trans_err: 0.01947310
2025-02-27 21:46:14,430 - INFO - epoch: 72, start training
2025-02-27 21:49:53,764 - INFO - epoch: 72, validate trans_err: 0.01922950
2025-02-27 21:49:53,837 - INFO - epoch: 73, start training
2025-02-27 21:53:21,695 - INFO - epoch: 73, validate trans_err: 0.01885694
2025-02-27 21:53:21,720 - INFO - epoch: 74, start training
2025-02-27 21:56:47,908 - INFO - epoch: 74, validate trans_err: 0.01930086
2025-02-27 21:56:47,933 - INFO - epoch: 75, start training
2025-02-27 22:00:14,236 - INFO - epoch: 75, validate trans_err: 0.01910259
2025-02-27 22:00:14,262 - INFO - epoch: 76, start training
2025-02-27 22:03:42,997 - INFO - epoch: 76, validate trans_err: 0.01883397
2025-02-27 22:03:43,022 - INFO - epoch: 77, start training
2025-02-27 22:07:12,000 - INFO - epoch: 77, validate trans_err: 0.01895322
2025-02-27 22:07:12,026 - INFO - epoch: 78, start training
2025-02-27 22:10:40,959 - INFO - epoch: 78, validate trans_err: 0.01915480
2025-02-27 22:10:40,985 - INFO - epoch: 79, start training
2025-02-27 22:14:10,030 - INFO - epoch: 79, validate trans_err: 0.01927704
2025-02-27 22:14:10,056 - INFO - epoch: 80, start training
2025-02-27 22:17:41,058 - INFO - epoch: 80, validate trans_err: 0.01898477
2025-02-27 22:17:42,183 - INFO - Model in epoch: 80 saved successfully.
2025-02-27 22:17:42,208 - INFO - epoch: 81, start training
2025-02-27 22:21:22,063 - INFO - epoch: 81, validate trans_err: 0.01895633
2025-02-27 22:21:22,102 - INFO - epoch: 82, start training
2025-02-27 22:25:05,641 - INFO - epoch: 82, validate trans_err: 0.01914267
2025-02-27 22:25:05,667 - INFO - epoch: 83, start training
2025-02-27 22:28:57,828 - INFO - epoch: 83, validate trans_err: 0.01889983
2025-02-27 22:28:57,857 - INFO - epoch: 84, start training
2025-02-27 22:32:49,317 - INFO - epoch: 84, validate trans_err: 0.01918435
2025-02-27 22:32:49,380 - INFO - epoch: 85, start training
2025-02-27 22:36:32,841 - INFO - epoch: 85, validate trans_err: 0.01907526
2025-02-27 22:36:32,866 - INFO - epoch: 86, start training
2025-02-27 22:39:59,907 - INFO - epoch: 86, validate trans_err: 0.01890019
2025-02-27 22:39:59,932 - INFO - epoch: 87, start training
2025-02-27 22:43:28,946 - INFO - epoch: 87, validate trans_err: 0.01883888
2025-02-27 22:43:28,972 - INFO - epoch: 88, start training
2025-02-27 22:46:58,269 - INFO - epoch: 88, validate trans_err: 0.01877851
2025-02-27 22:46:58,295 - INFO - epoch: 89, start training
2025-02-27 22:50:27,423 - INFO - epoch: 89, validate trans_err: 0.01893744
